"idAddress","Address","Adress2","District","PostalCode","Phone","City"
56,"939 Probolinggo Loop","","Galicia","4166","680428310138","A Corua (La Corua)"
105,"733 Mandaluyong Place","","Asir","77459","196568435814","Abha"
457,"535 Ahmadnagar Manor","","Abu Dhabi","41136","985109775584","Abu Dhabi"
491,"1789 Saint-Denis Parkway","","Coahuila de Zaragoza","8268","936806643983","Acua"
332,"663 Baha Blanca Parkway","","Adana","33463","834418779292","Adana"
397,"614 Pak Kret Street","","Addis Abeba","27796","47808359842","Addis Abeba"
214,"751 Lima Loop","","Aden","99405","756460337785","Aden"
372,"230 Urawa Drive","","Andhra Pradesh","2738","166898395731","Adoni"
302,"922 Vila Velha Loop","","Maharashtra","4085","510737228015","Ahmadnagar"
580,"923 Tangail Boulevard","","Tokyo-to","33384","315528269898","Akishima"
484,"98 Pyongyang Boulevard","","Ohio","88749","191958435142","Akron"
102,"669 Firozabad Loop","","Abu Dhabi","92265","412903167998","al-Ayn"
74,"1124 Buenaventura Drive","","Mekka","6856","407733804223","al-Hawiya"
596,"1759 Niznekamsk Avenue","","al-Manama","39414","864392582257","al-Manama"
400,"1152 Citrus Heights Manor","","al-Qadarif","5239","765957414528","al-Qadarif"
422,"289 Santo Andr Manor","","al-Sharqiya","72410","214976066017","al-Qatif"
37,"127 Purnea (Purnia) Manor","","Piemonte","79388","911872220378","Alessandria"
179,"431 Xiangtan Avenue","","Kerala","4854","230250973122","Allappuzha (Alleppey)"
419,"397 Sunnyvale Avenue","","Guanajuato","55566","680851640676","Allende"
364,"1623 Kingstown Drive","","Buenos Aires","91299","296394569728","Almirante Brown"
557,"1407 Pachuca de Soto Place","","Rio Grande do Sul","26284","380077794770","Alvorada"
229,"1014 Loja Manor","","Tamil Nadu","66851","460795526514","Ambattur"
420,"992 Klerksdorp Loop","","Utrecht","33711","855290087237","Amersfoort"
540,"949 Allende Lane","","Uttar Pradesh","67521","122981120653","Amroha"
312,"1354 Siegen Street","","Rio de Janeiro","80184","573441801529","Angra dos Reis"
233,"356 Olomouc Manor","","Gois","93323","22326410776","Anpolis"
49,"1718 Valencia Street","","Antofagasta","37359","675292816413","Antofagasta"
220,"1201 Qomsheh Manor","","Gois","21464","873492228462","Aparecida de Goinia"
141,"1749 Daxian Place","","Gelderland","11044","963369996279","Apeldoorn"
81,"1692 Ede Loop","","So Paulo","9223","918711376618","Araatuba"
40,"334 Munger (Monghyr) Lane","","Markazi","38145","481183273622","Arak"
365,"1009 Zanzibar Lane","","Arecibo","64875","102396298916","Arecibo"
310,"913 Coacalco de Berriozbal Loop","","Texas","42141","262088367001","Arlington"
106,"659 Vaduz Drive","","Ha Darom","49708","709935135487","Ashdod"
204,"387 Mwene-Ditu Drive","","Ahal","8073","764477681869","Ashgabat"
483,"632 Usolje-Sibirskoje Parkway","","Ha Darom","73085","667648979883","Ashqelon"
230,"201 Effon-Alaiye Way","","Asuncin","64344","684192903087","Asuncin"
7,"692 Joliet Street","","Attika","83579","448477190408","Athenai"
402,"616 Hagonoy Avenue","","Krasnojarsk","46043","604177838256","Atinsk"
88,"125 Citt del Vaticano Boulevard","","Puebla","67912","48417642933","Atlixco"
100,"1308 Arecibo Way","","Georgia","30695","6171054059","Augusta-Richmond County"
335,"587 Benguela Manor","","Illinois","91590","165450987037","Aurora"
543,"43 Vilnius Manor","","Colorado","79814","484500282381","Aurora"
566,"1229 Varanasi (Benares) Manor","","Buenos Aires","40195","817740355461","Avellaneda"
403,"1190 0 Place","","Rio Grande do Sul","10417","841876514789","Bag"
327,"1427 A Corua (La Corua) Place","","Buenos Aires","85799","972574862516","Baha Blanca"
544,"183 Haiphong Street","","Jilin","69953","488600270038","Baicheng"
500,"362 Rajkot Lane","","Gansu","98030","962020153680","Baiyin"
338,"431 Szkesfehrvr Avenue","","Baki","57828","119501405123","Baku"
59,"1697 Kowloon and New Kowloon Loop","","Moskova","57807","499352017190","Balaiha"
371,"1912 Emeishan Drive","","Balikesir","33050","99883471275","Balikesir"
212,"624 Oshawa Boulevard","","West Bengali","89959","49677664184","Balurghat"
357,"1641 Changhwa Place","","Nord-Ouest","37636","256546485220","Bamenda"
95,"1370 Le Mans Avenue","","Brunei and Muara","52163","345679835036","Bandar Seri Begawan"
590,"247 Jining Parkway","","Banjul","53446","170115379190","Banjul"
574,"502 Mandi Bahauddin Parkway","","Anzotegui","15992","618156722572","Barcelona"
65,"915 Ponce Place","","Basel-Stadt","83980","1395251317","Basel"
