idAddress,Address,Address2,District,PostalCode,Phone,idCity
222,"1168 Najafabad Parkway",,Kabol,40301,886649065861,251
446,"1924 Shimonoseki Drive",,Batna,52625,406784385440,59
73,"1031 Daugavpils Parkway",,Bchar,59025,107137400143,63
180,"757 Rustenburg Avenue",,Skikda,89668,506134035434,483
325,"1892 Nabereznyje Telny Lane",,Tutuila,28396,478229987054,516
534,"486 Ondo Parkway",,Benguela,35202,105882218332,67
388,"368 Hunuco Boulevard",,Namibe,17165,106439158941,360
386,"1368 Maracabo Boulevard",,,32716,934352415130,493
364,"1623 Kingstown Drive",,"Buenos Aires",91299,296394569728,20
566,"1229 Varanasi (Benares) Manor",,"Buenos Aires",40195,817740355461,43
327,"1427 A Corua (La Corua) Place",,"Buenos Aires",85799,972574862516,45
28,"96 Tafuna Way",,Crdoba,99865,934730187245,128
450,"203 Tambaram Street",,"Buenos Aires",73942,411549550611,161
536,"166 Jinchang Street",,"Buenos Aires",86760,717566026669,165
93,"1926 El Alto Avenue",,"Buenos Aires",75543,846225459260,289
111,"1532 Dzerzinsk Way",,"Buenos Aires",9599,330838016880,334
591,"773 Dallas Manor",,"Buenos Aires",12664,914466027044,424
247,"1483 Pathankot Street",,Tucumn,37288,686015532180,454
336,"430 Kumbakonam Drive",,"Santa F",28814,105470691550,457
410,"88 Nagaon Manor",,"Buenos Aires",86868,779461480495,524
223,"1244 Allappuzha (Alleppey) Place",,"Buenos Aires",20657,991802825778,567
45,"42 Brindisi Place",,Yerevan,16744,42384721397,586
2,"28 MySQL Boulevard",NULL,QLD,,,576
4,"1411 Lillydale Drive",NULL,QLD,,6172235589,576
177,"1010 Klerksdorp Way",,Steiermark,6802,493008546874,186
163,"1440 Compton Place",,"North Austria",81037,931059836497,307
271,"1587 Loja Manor",,Salzburg,5410,621625204422,447
338,"431 Szkesfehrvr Avenue",,Baki,57828,119501405123,48
339,"503 Sogamoso Loop",,Sumqayit,49812,834626715837,505
596,"1759 Niznekamsk Avenue",,al-Manama,39414,864392582257,14
337,"1838 Tabriz Lane",,Dhaka,1195,38988715447,143
334,"1816 Bydgoszcz Loop",,Dhaka,64308,965273813662,234
25,"262 A Corua (La Corua) Parkway",,Dhaka,34418,892775750063,525
533,"556 Asuncin Way",,Mogiljov,35364,338244023543,339
148,"1027 Songkhla Manor",,Minsk,30861,563660187896,340
460,"659 Gatineau Boulevard",,"La Paz",28587,205524798287,153
436,"287 Cuautla Boulevard",,Chuquisaca,72736,82619513349,501
557,"1407 Pachuca de Soto Place",,"Rio Grande do Sul",26284,380077794770,21
312,"1354 Siegen Street",,"Rio de Janeiro",80184,573441801529,25
233,"356 Olomouc Manor",,Gois,93323,22326410776,26
220,"1201 Qomsheh Manor",,Gois,21464,873492228462,28
81,"1692 Ede Loop",,"So Paulo",9223,918711376618,30
403,"1190 0 Place",,"Rio Grande do Sul",10417,841876514789,44
367,"1163 London Parkway",,Par,6066,675120358494,66
210,"1304 s-Hertogenbosch Way",,"Santa Catarina",10925,90336226227,83
347,"1293 Nam Dinh Way",,Roraima,71583,697656479977,84
330,"981 Kumbakonam Place",,"Distrito Federal",87611,829116184079,89
96,"984 Effon-Alaiye Avenue",,Gois,17119,132986892228,183
432,"259 Ipoh Drive",,"So Paulo",64964,419009857119,189
134,"758 Junan Lane",,Gois,82639,935448624185,190
315,"543 Bergamo Avenue",,"Minas Gerais",59686,103602195112,215
51,"686 Garland Manor",,Cear,52535,69493378813,247
597,"32 Liaocheng Way",,"Minas Gerais",1944,410877354933,248
187,"1839 Szkesfehrvr Parkway",,Gois,55709,947468818183,317
250,"829 Grand Prairie Way",,Paran,6461,741070712873,328
130,"1666 Qomsheh Drive",,"So Paulo",66255,582835362905,410
259,"1338 Zalantun Lane",,"Minas Gerais",45403,840522972766,413
78,"1206 Dos Quebradas Place",,"So Paulo",20207,241832790687,431
182,"1891 Rizhao Boulevard",,"So Paulo",47288,391065549876,456
359,"519 Nyeri Manor",,"So Paulo",37650,764680915323,461
550,"1715 Okayama Street",,"So Paulo",55676,169352919175,485
448,"614 Denizli Parkway",,"Rio Grande do Sul",29444,876491807547,486
319,"1957 Yantai Lane",,"So Paulo",59255,704948322302,490
43,"306 Antofagasta Place",,"Esprito Santo",3989,378318851631,569
379,"1133 Rizhao Avenue",,Pernambuco,2800,600264533987,572
95,"1370 Le Mans Avenue",,"Brunei and Muara",52163,345679835036,53
546,"191 Jos Azueta Parkway",,Ruse,13629,932156667696,436
219,"1229 Valencia Parkway",,Haskovo,99124,352679173732,498
522,"1768 Udine Loop",,Battambang,32347,448876499197,60
232,"754 Valencia Place",,"Phnom Penh",87911,594319417514,406
357,"1641 Changhwa Place",,Nord-Ouest,37636,256546485220,52
366,"114 Jalib al-Shuyukh Manor",,Centre,60440,845378657301,585
481,"1153 Allende Way",,Qubec,20336,856872225376,179
468,"1844 Usak Avenue",,"Nova Scotia",84461,164414772677,196
1,"47 MySakila Drive",NULL,Alberta,,,300
3,"23 Workhaven Lane",NULL,Alberta,,14033335568,300
193,"891 Novi Sad Manor",,Ontario,5379,247646995453,383
415,"432 Garden Grove Street",,Ontario,65630,615964523510,430
441,"983 Santa F Way",,"British Colombia",47472,145720452260,565
541,"195 Ilorin Street",,Chari-Baguirmi,49250,8912935608,363
49,"1718 Valencia Street",,Antofagasta,37359,675292816413,27
521,"568 Dhule (Dhulia) Loop",,Coquimbo,92568,602101369463,127
469,"1872 Toulon Loop",,OHiggins,7939,928809465153,428
544,"183 Haiphong Street",,Jilin,69953,488600270038,46
500,"362 Rajkot Lane",,Gansu,98030,962020153680,47
539,"1332 Gaziantep Lane",,Shandong,22813,383353187467,80
201,"817 Bradford Loop",,Jiangsu,89459,264286442804,109
265,"1158 Mandi Bahauddin Parkway",,Shanxi,98484,276555730211,136
